SubjectID,ConditionCode,Format,Complexity,N1,N2,CorrectAnswer,UserAnswer,Accuracy,RT_ms,WasEdited
Sub_5823,3,word,no,33,34,67,67,1,5569,0
Sub_5823,2,digit,yes,28,39,67,67,1,3914,0
Sub_5823,2,digit,yes,45,38,83,83,1,6176,0
Sub_5823,3,word,no,54,34,88,88,1,17851,0
Sub_5823,3,word,no,62,14,76,76,1,15487,0
Sub_5823,3,word,no,61,22,83,83,1,9052,1
Sub_5823,3,word,no,52,22,74,74,1,3787,0
Sub_5823,1,digit,no,23,44,67,67,1,4993,0
Sub_5823,1,digit,no,52,24,76,76,1,4761,0
Sub_5823,4,word,yes,47,27,74,74,1,8172,0
Sub_5823,1,digit,no,64,24,88,88,1,2536,0
Sub_5823,2,digit,yes,26,27,53,54,0,2313,0
Sub_5823,1,digit,no,41,21,62,62,1,5049,0
Sub_5823,4,word,yes,48,28,76,74,0,5052,0
Sub_5823,4,word,yes,38,18,56,56,1,15764,1
Sub_8021,1,digit,no,41,21,62,62,1,7072,0
Sub_8021,1,digit,no,23,44,67,67,1,5166,0
Sub_8021,4,word,yes,48,28,76,76,1,10853,0
Sub_8021,2,digit,yes,49,39,88,88,1,14632,0
Sub_8021,1,digit,no,32,42,74,64,0,3791,0
Sub_8021,1,digit,no,62,23,85,85,1,4472,0
Sub_8021,2,digit,yes,27,29,56,56,1,7467,0
Sub_8021,3,word,no,42,14,56,56,1,8815,0
Sub_8021,1,digit,no,72,22,94,94,1,3177,0
Sub_8021,4,word,yes,48,37,85,80,0,7272,0
Sub_8021,1,digit,no,51,32,83,83,1,5015,0
Sub_8021,3,word,no,52,22,74,74,1,5762,0
Sub_8021,4,word,yes,28,34,62,62,1,12992,0
Sub_8021,1,digit,no,64,24,88,88,1,3306,0
Sub_8021,2,digit,yes,27,35,62,62,1,6570,0
Sub_8021,4,word,yes,38,18,56,56,1,10541,0
Sub_8021,3,word,no,54,34,88,88,1,6010,0
Sub_8021,2,digit,yes,39,37,76,76,1,6408,0
Sub_8021,3,word,no,41,12,53,53,1,9686,0
Sub_8021,2,digit,yes,48,46,94,94,1,8948,0
Sub_8021,1,digit,no,21,32,53,53,1,6937,1
Sub_8021,3,word,no,61,22,83,93,0,7506,0
Sub_8021,4,word,yes,59,29,88,88,1,6935,0
Sub_8021,2,digit,yes,45,38,83,83,1,12157,0
Sub_8021,2,digit,yes,26,27,53,53,1,13188,0
Sub_8021,1,digit,no,52,24,76,76,1,4861,0
Sub_8021,3,word,no,52,33,85,85,1,7095,0
Sub_8021,2,digit,yes,59,26,85,85,1,5707,0
Sub_8021,2,digit,yes,36,38,74,74,1,4721,0
Sub_8021,4,word,yes,46,37,83,83,1,10959,0
Sub_8021,3,word,no,51,11,62,62,1,5813,0
Sub_8021,1,digit,no,22,34,56,56,1,3654,0
Sub_8021,3,word,no,62,32,94,94,1,7369,0
